day,animalCount,grassCount,bigGrassCount,emptyFieldCount,mostPopularGenomeCount,averageLifeLength,totalDeadAnimals,averageEnergy,averageChildrenCount
104,35,16,0,63,1,12,2,138,27,7,0,5
105,33,15,0,66,1,12,4,144,30,2,0,5
106,31,17,0,59,1,12,4,148,31,8,0,6
107,34,20,0,56,1,12,5,149,28,5,0,5
108,34,20,0,58,1,12,5,154,29,1,0,6
109,36,20,0,61,1,12,3,158,27,4,0,4
110,29,20,0,58,1,12,2,167,35,3,0,4
111,30,20,0,57,1,12,1,168,33,8,0,4
112,31,21,0,57,1,12,1,170,32,4,0,4
113,34,19,0,60,1,12,0,173,30,2,0,6
114,41,21,0,57,1,12,0,174,24,6,0,7
115,41,18,0,60,1,11,8,181,24,9,0,6
116,38,17,0,62,1,11,6,190,27,7,0,5
117,36,20,0,57,1,11,4,197,30,1,0,5
118,38,20,0,57,1,11,4,201,28,9,0,6
119,40,19,0,56,1,11,4,205,27,2,0,5
120,38,19,0,58,1,11,2,213,28,6,0,5
121,37,19,0,55,1,11,0,219,29,3,0,7
122,42,18,0,59,1,10,9,221,25,5,0,6
123,42,17,0,60,1,10,8,229,26,2,0,5
124,38,15,0,60,1,10,7,238,30,2,0,4
125,34,17,0,58,1,10,6,245,33,8,0,4
126,38,18,0,60,1,10,5,247,30,4,0,5
127,37,19,0,53,1,10,5,251,31,4,0,5
128,41,20,0,56,1,10,5,254,28,1,0,5
129,36,19,0,52,1,10,4,261,33,5,0,5
130,40,22,0,56,1,10,4,263,29,6,0,5
131,40,21,0,50,1,10,3,268,29,8,0,5
132,38,18,0,55,1,10,2,273,31,8,0,6
133,45,21,0,49,1,10,2,273,26,2,0,6
134,46,21,0,51,1,10,2,279,25,7,0,5
135,43,21,0,53,1,10,1,288,28,0,0,6
136,47,18,0,56,1,10,1,292,25,7,0,5
137,41,18,0,53,1,10,1,302,30,4,0,5
138,40,17,0,54,1,10,0,307,31,7,0,5
139,43,17,0,53,1,10,0,309,30,1,0,5
140,45,19,0,52,1,9,9,314,28,5,0,4
141,43,16,0,57,1,9,9,322,31,1,0,5
142,44,16,0,52,1,9,9,326,31,0,0,4
143,44,13,0,58,1,9,9,332,31,5,0,4
144,43,13,0,60,1,9,8,338,32,4,0,5
145,47,13,0,57,1,9,8,341,29,5,0,6
146,51,14,0,57,1,9,8,346,27,4,0,5
147,47,16,0,55,1,9,7,357,30,7,0,5
148,50,15,0,58,1,9,6,362,28,6,0,4
149,43,14,0,53,1,9,6,373,34,7,0,5
150,49,18,0,50,1,9,6,374,29,8,0,5
151,49,15,0,53,1,9,6,381,30,5,0,5
152,47,12,0,53,1,9,5,388,32,4,0,5
153,49,9,0,58,1,9,5,392,30,9,0,5
154,51,12,0,58,1,9,5,398,29,4,0,6
155,54,13,0,55,1,9,4,404,27,5,0,5
156,50,13,0,52,1,9,3,414,29,6,0,4
